content_asli,teks_bersih,score,sentimen,at,panjang_asli,panjang_bersih,thumbsUpCount
mantap,bagus,5,Positif,2026-05-15 20:38:27,1,1,0
percuma harga murah murah tapi kualitas nya jelek/kw,percuma harga murah murah kualitas buruk kw,3,Netral,2026-05-15 20:37:18,8,7,0
"paylater telat sehari denda satu bulan , giliran di telatin sebulan sekalian di TLP trus , kan udah aku bayar denda nya selama sebulan",paylater telat hari denda satu bulan gilir telatin bulan sekali tlp trus kan bayar denda lama bulan,1,Negatif,2026-05-15 20:37:01,24,17,0
"bagus, perfect dan tambahin lagi voucher diskon besar' an /minggu",bagus perfect tambahin voucher diskon besar an minggu,5,Positif,2026-05-15 20:35:46,10,8,0
sangat membantuu,sangat membantuu,5,Positif,2026-05-15 20:34:43,2,2,0
"mudah, hemat, dan juara",mudah hemat juara,5,Positif,2026-05-15 20:33:32,4,3,0
lebih puas. karna semua barang d sini di jual lbh murah,lebih puas semua barang sini jual lebih murah,5,Positif,2026-05-15 20:33:01,11,8,0
sebagai pembeli ini yah,beli,5,Positif,2026-05-15 20:31:31,4,1,0
pengiriman cepat,kirim cepat,5,Positif,2026-05-15 20:30:25,2,2,0
"membuat program selalu saja bikin susah penjual & pembeli, bagaimana mau memberi penilaian pd toko ( sesuai kinerjanya ) jika di ganjal dng program TEMPLATE yg harus upload 3 video atas perintahnya bahkan perintah2 tdk logika, sekali lagi saya selaku konsumen tdk butuh coin dari penilaian, namun lebih cenderung utk memberi apresiasi kpd toko yg amanah, utk team programer shopee fikirkanlah program anda",buat program selalu bikin susah jual beli bagaimana mau beri nilai toko sesuai kerja ganjal program template upload video atas perintah bahkan perintah tdk logika sekali selaku konsumen tdk butuh coin nilai lebih cenderung beri apresiasi kpd toko amanah team programer fikirkanlah program,1,Negatif,2026-05-15 20:30:17,63,43,127
Aplikasi belanja terworth it!! yang penting pinter-pinter milih toko sama liat review.,belanja terworth it penting pinter pinter milih toko sama liat review,5,Positif,2026-05-15 20:29:48,12,11,0
Sangat mudah belanja di shopee,sangat mudah belanja,5,Positif,2026-05-15 20:29:12,5,3,0
semua nya serba mahal. mau beli iPhone 17 pro max harga 90 jutaan. padah aku punya uang 5k😭😭,semua serba mahal mau beli iphone pro max harga juta padah punya uang,1,Negatif,2026-05-15 20:29:11,18,13,0
mntap,bagus,5,Positif,2026-05-15 20:28:08,1,1,0
Kami kasi 4 bintang dulu,kasi bintang dulu,4,Positif,2026-05-15 20:27:58,5,3,0
sangat membantu,sangat bantu,5,Positif,2026-05-15 20:27:53,2,2,0
suka banget dgn Shopie,suka banget shopie,5,Positif,2026-05-15 20:27:53,4,3,0
kami sangat puas puas n puas dengan aplikasi shopee 🙏🙏🙏 apalagi dapat gratisan shopee Joss Joss n Joss,sangat puas puas puas gratis joss joss joss,5,Positif,2026-05-15 20:25:07,18,8,0
belanja simple,belanja simple,5,Positif,2026-05-15 20:24:27,2,2,0
belanja di Shopee dijamin murah aman dan amanah,belanja jamin murah aman amanah,5,Positif,2026-05-15 20:23:55,8,5,0
sangat puas,sangat puas,5,Positif,2026-05-15 20:23:23,2,2,0
"semenjak pakai expedisi spx shopee jadi sering mengecewakan, banyak pesanan yang di batalkan oleh expedisi",semenjak pakai expedisi spx jadi sering kecewa banyak pesan batal expedisi,3,Netral,2026-05-15 20:23:08,15,11,0
"Lodingnya lama bikin kesel, ada garansi tepat waktu, pad waktunya lewat, daritanggal estimasi, eh tanggal estimasinya jadi berubah, jadi di tambah, ya jadi tepat waktu terus, karna tanggal estimasi bisa berubah, kalau belum sampe",lodingnya lama bikin kesel garansi tepat waktu pad waktu lewat daritanggal estimasi eh tanggal estimasi jadi ubah jadi tambah jadi tepat waktu terus tanggal estimasi ubah kalau belum sampe,2,Negatif,2026-05-15 20:22:40,34,29,0
aplikasi yang sangat bagus banget buat berbelanja,sangat bagus banget buat belanja,5,Positif,2026-05-15 20:22:08,7,5,0
baguss bangett,baguss bangett,5,Positif,2026-05-15 20:20:08,2,2,0
tolong di koordinasi'kan dgn bijak kendala pengiriman sekarang² ini kenapa lama terkadang pesanan tiba² dibatalkan pihak jasa kurir padahal status pesanan dalam proses pengantaran,koordinasi kan bijak kendala kirim sekarang lama terkadang pesan tiba batal pihak jasa kurir padahal status pesan proses antar,4,Positif,2026-05-15 20:19:53,24,19,0
sangat mantap,sangat bagus,4,Positif,2026-05-15 20:19:26,2,2,0
bagus,bagus,5,Positif,2026-05-15 20:19:08,1,1,0
hallo kak saya mau ngadukan ada yang mengatasnamakan shoppe Indonesia apakah saya abis belanja di shoppe gak unboxing video paket akan di bekukan dan di kasih link nya tolong di usut tuntas,hallo kak mau ngadukan mengatasnamakan indonesia abis belanja tidak unboxing video paket beku kasih link usut tuntas,5,Positif,2026-05-15 20:18:59,32,17,0
Kayaknya produk homebrew... Tapi mudah2an kwalitas yg dipasarkan produk yg bagus,kayak produk homebrew mudah kwalitas pasar produk bagus,1,Negatif,2026-05-15 20:16:40,11,8,0
pokoke mantap,pokoke bagus,5,Positif,2026-05-15 20:16:03,2,2,0
"Shopee makin lama makin nyebelin ya, mau log in aja susahnya minta ampun kalau malam. Padahal ada wifi dan kuota. bikin kesel",makin lama makin nyebelin mau log in susah minta ampun kalau malam padahal wifi kuota bikin kesel,1,Negatif,2026-05-15 20:13:07,22,17,0
Perbelanjaan yg sangat gampang dalam pemesanannya. serta kita bisa chat dgn penjual utk tanya gambar barang dan stok yang ada.,belanja sangat gampang mesan chat jual tanya gambar barang stok,5,Positif,2026-05-15 20:07:44,20,10,0
shopee mantap the besstt,bagus the besstt,5,Positif,2026-05-15 20:06:57,4,3,0
"Saya kasih bintang 2. karna ga bisa COD ke papua dan juga ongkirnya mahal sekali lebih mahal dari harga barang yang kita pesan berasa kaya beli ongkir dan dapat barang yang kita mau. 1 lagi kalo misal kita beli barang di toko yang sama tolong harga barangnya yang di hitung jangan ongkirnya juga ikut nambah padahal suka sekali sama produk-produk yang di jual tapi ga bisa kebeli karna mahal, ongkirnya minta ampun pengen nangis dah sumpah. Tolong dong pihak SHOPEE kami di papua sangat kesulitan.",kasih bintang tidak bayar tempat papua ongkirnya mahal sekali lebih mahal harga barang pesan asa kaya beli ongkos kirim barang mau kalau misal beli barang toko sama harga barang hitung jangan ongkirnya ikut nambah padahal suka sekali sama produk produk jual tidak kebel mahal ongkirnya minta ampun ken nang dah sumpah pihak papua sangat sulit,2,Negatif,2026-05-15 20:04:29,85,55,0
tolong sangat menyiksa anak kos harga makananya. pakai shopee VIP ga ngaruhh. boncos,sangat siksa anak kos harga makananya pakai vip tidak ngaruhh boncos,1,Negatif,2026-05-15 20:01:26,13,11,0
terbaik,baik,5,Positif,2026-05-15 19:58:46,1,1,0
Blm bisa di instal,belum instal,5,Positif,2026-05-15 19:58:43,4,2,0
"pengalaman pahit.. barang rusak di paksa suruh nerima.. seolah shopee lbh berpihak ke penjual drpd pembeli.. saran saya klo beli apa"" lebih baik cod drpd lngsng bayar.. klo duit sudah masuk jngn harap bisa balik lagi.. bagusan toko sebelah drpd shopee....",alam pahit barang rusak paksa suruh nerima lebih pihak jual drpd beli saran kalau beli apa lebih baik bayar tempat drpd lngsng bayar kalau duit masuk jngn harap balik bagus toko belah drpd,1,Negatif,2026-05-15 19:54:45,41,33,0
"Great!, 👍🥰. Banyak promo diskon produk dan koin. Tlg banyakin voucer diskon yaa shopee. Makasih shopee😍😍😍",great banyak promo diskon produk koin banyakin voucer diskon yaa terima kasih,5,Positif,2026-05-15 19:53:55,16,12,0
cukup puas belanja d shopee,cukup puas belanja,5,Positif,2026-05-15 19:53:36,5,3,0
"Aplikasinya Lelet sekali dibagian menu, dan profil. tapi klw video promosi barang Pas buka aplikasi langsung putar tanpa gangguan. Biaya Pengiriman Tetap aja Mahal ke NTT, yg buat malas belanja karena Biaya Pengiriman lebih mahal dari barang yang ingin dibeli🤪",aplikasi lambat sekali bagi menu profil klw video promosi barang pas buka langsung putar tanpa ganggu biaya kirim tetap mahal ntt buat malas belanja biaya kirim lebih mahal barang beli,3,Netral,2026-05-15 19:53:25,40,30,0
pengiriman cepat dan harganya terjangkau,kirim cepat harga jangkau,5,Positif,2026-05-15 19:52:12,5,4,0
bagus sekali,bagus sekali,4,Positif,2026-05-15 19:52:02,2,2,0
"makasih shoppee dgn adanya aplikasi ini maka dpt mudah untuk berbelanja online,sangat membantu sekali",terima kasih shoppee ada mudah belanja online sangat bantu sekali,5,Positif,2026-05-15 19:50:57,14,10,0
bagus banget akuu suka,bagus banget akuu suka,5,Positif,2026-05-15 19:50:25,4,4,0
puas banget,puas banget,5,Positif,2026-05-15 19:48:53,2,2,0
bang tolong di perbaiki aplikasi nya masashi dapat order fiktif/penipuan,bang baik masashi order fiktif tipu,1,Negatif,2026-05-15 19:46:34,10,6,0
"so far, masih aman/oke👍",so far aman,5,Positif,2026-05-15 19:45:47,4,3,0
yah,,5,Positif,2026-05-15 19:45:11,1,0,0
"mohon maaf, ini akun shopee saya kenapa ya tba² minta verifikasi melalui link? trus nomor nya berbeda dengan nomor saya?.",mohon maaf akun tba minta verifikasi lalu link trus nomor beda nomor,5,Positif,2026-05-15 19:44:46,20,12,0
pengiriman Nya cepat dan barang nya sampai dengan bagus,kirim cepat barang bagus,5,Positif,2026-05-15 19:44:32,9,4,0
jika barang gak sesuai dijamin bisa dikembalikan..uang kita kembali 100%.,barang tidak sesuai jamin kembali uang,5,Positif,2026-05-15 19:44:00,10,6,0
keseringan butuh verifikasi pas mau co di webnya,sering butuh verifikasi pas mau co webnya,1,Negatif,2026-05-15 19:42:44,8,7,0
"membantu bgt kalo cari barang apapun ada, udah gtu banyak promo nya hihi",bantu banget kalau cari barang apa gtu banyak promo hihi,5,Positif,2026-05-15 19:41:38,13,10,0
Ok pakai bangeeett,pakai bangeeett,5,Positif,2026-05-15 19:38:28,3,2,0
